City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,hammerfest,70.6634,23.6821,9.25,46,40,8.75,NO,1685033844
83,gadzhiyevo,69.2551,33.3362,12.86,36,99,6.54,RU,1685033768
84,dunedin,-45.8742,170.5036,14.48,58,98,5.38,NZ,1685033844
85,utrik,11.2278,169.8474,27.73,78,100,9.27,MH,1685033845
86,bikenibeu village,1.3673,173.1241,27.98,78,20,1.03,KI,1685033845
87,turtas,58.9417,69.1325,11.63,72,37,1.73,RU,1685033845
88,dampit,-8.2116,112.7493,21.32,96,62,1.29,ID,1685033846
89,rio grande,-32.035,-52.0986,29.06,63,91,2.98,BR,1685033846
90,aasiaat,68.7098,-52.8699,-0.65,67,10,3.96,GL,1685033846
91,sirte,31.2089,16.5887,21.43,74,1,6.2,LY,1685033847
92,mount pearl,47.5166,-52.7813,12.19,65,100,7.72,CA,1685033847
93,alice springs,-23.7,133.8833,14.75,58,0,7.67,AU,1685033847
94,longyearbyen,78.2186,15.6401,2.91,81,75,7.2,SJ,1685033847
95,avarua,-21.2078,-159.775,25.03,83,16,4.63,CK,1685033731
96,kirakira,-10.4544,161.9205,25.76,86,99,1.88,SB,1685033848
97,kruisfontein,-34.0033,24.7314,16.05,83,44,8.51,ZA,1685033848
98,bandiagara,14.3501,-3.6104,40.64,14,1,6.86,ML,1685033849
99,happy valley-goose bay,53.3168,-60.3315,8.17,57,75,3.09,CA,1685033849
100,san fernando,15.0286,120.6898,26.85,87,96,1.55,PH,1685033627
101,puerto baquerizo moreno,-0.9,-89.6,26.4,76,91,5.66,EC,1685033850
102,zeerust,-25.5369,26.0751,19.91,29,59,3.49,ZA,1685033850
103,fale old settlement,-9.3852,-171.2468,28.08,76,61,4.81,TK,1685033850
104,isafjordur,66.0755,-23.124,8.02,57,75,5.66,IS,1685033851
105,newman,37.3138,-121.0208,20.01,41,1,0.89,US,1685033851
106,uturoa,-16.7333,-151.4333,27.33,74,84,5.98,PF,1685033852
107,stanley,54.868,-1.6985,16.96,66,20,2.06,GB,1685033399
108,powell river,49.8496,-124.5361,18.44,77,20,2.06,CA,1685033852
109,takoradi,4.8845,-1.7554,28.37,74,95,3.75,GH,1685033852
110,sergeyevka,53.88,67.4158,15.42,76,97,1.54,KZ,1685033853
111,karatas,36.582,35.3701,24.36,75,0,4.97,TR,1685033853
112,okhotsk,59.3833,143.3,1.2,93,100,2.99,RU,1685033853
113,pulawy,51.4166,21.9694,20.85,84,68,3.01,PL,1685033854
114,cabo san lucas,22.8909,-109.9124,32.56,53,99,4.15,MX,1685033854
115,roquetas de mar,36.7642,-2.6148,22.0,66,13,4.32,ES,1685033854
116,hamilton,39.1834,-84.5333,20.23,40,67,2.24,US,1685033729
117,georgetown,5.4112,100.3354,28.97,79,20,1.03,MY,1685033602
118,st. john's,47.5649,-52.7093,12.66,66,100,7.72,CA,1685033855
119,sola,-13.8833,167.55,26.08,72,92,9.84,VU,1685033856
120,castillos,-34.1667,-53.8333,26.57,49,96,2.95,UY,1685033856
121,ciudad lazaro cardenas,17.9583,-102.2,31.42,53,87,2.76,MX,1685033856
122,klyuchi,52.2667,79.1667,15.47,46,100,2.98,RU,1685033857
123,east london,-33.0153,27.9116,16.52,100,0,2.06,ZA,1685033857
124,jamestown,42.097,-79.2353,15.29,49,98,4.02,US,1685033857
125,tubod,8.0555,123.7904,24.01,96,100,0.43,PH,1685033858
126,nova vicosa,-17.8919,-39.3719,25.56,69,3,5.17,BR,1685033858
127,lebu,-37.6167,-73.65,13.41,78,19,6.75,CL,1685033858
128,la'ie,21.6477,-157.9253,23.95,81,21,2.68,US,1685033858
129,keflavik,64.0049,-22.5624,9.24,71,75,12.35,IS,1685033859
130,tibanbang,6.6315,126.1055,25.59,85,100,4.13,PH,1685033859
131,fernley,39.608,-119.2518,20.68,33,83,1.21,US,1685033859
132,ostrzeszow,51.4264,17.9336,19.69,69,64,1.53,PL,1685033602
133,caleta de carquin,-11.0925,-77.6267,23.51,70,68,4.3,PE,1685033860
134,rongelap,11.1635,166.8941,27.87,79,100,7.05,MH,1685033861
135,sitka,57.0531,-135.33,11.76,91,100,1.94,US,1685033861
136,cidreira,-30.1811,-50.2056,23.56,62,29,2.97,BR,1685033861
137,kilju,40.9642,129.3278,13.56,85,100,2.13,KP,1685033862
138,bereznik,62.8551,42.7072,17.31,85,92,3.03,RU,1685033862
139,carnarvon,-24.8667,113.6333,21.56,50,99,9.12,AU,1685033862
140,khash,28.2211,61.2158,27.12,14,44,4.95,IR,1685033863
141,kasimov,54.9411,41.3953,17.55,91,91,2.87,RU,1685033680
142,ujae,8.9322,165.7642,28.18,78,97,6.71,MH,1685033863
143,mendi,-6.1761,143.6513,12.94,99,100,0.82,PG,1685033864
144,palmer,42.1584,-72.3287,18.57,46,1,3.13,US,1685033864
145,selfoss,63.9331,-20.9971,9.47,69,83,8.14,IS,1685033864
146,mirny,62.5353,113.9611,2.75,81,84,3.95,RU,1685033865
147,tura,25.5198,90.2201,20.64,98,100,1.5,IN,1685033865
148,simanggang,1.2472,111.4528,25.99,94,58,1.03,MY,1685033865
149,asau,46.4333,26.4,19.51,77,47,3.43,RO,1685033866
150,usogorsk,63.4106,48.6872,18.98,70,53,2.64,RU,1685033866
151,port mathurin,-19.6833,63.4167,25.43,75,12,5.35,MU,1685033866
152,coyhaique,-45.5752,-72.0662,2.34,89,98,3.57,CL,1685033867
153,antonio enes,-16.2325,39.9086,23.09,68,1,3.52,MZ,1685033867
154,hosanagara,13.9167,75.0667,22.65,88,58,1.67,IN,1685033867
155,vicuna mackenna,-33.9197,-64.3922,17.72,76,99,3.2,AR,1685033867
156,alliance,40.9153,-81.1059,15.6,42,86,4.63,US,1685033868
157,pathein,16.7833,94.7333,27.81,78,2,3.27,MM,1685033868
158,santo antonio,-6.3106,-35.4789,29.32,63,92,6.4,BR,1685033868
159,lata,40.1629,-8.3327,26.07,41,53,4.92,PT,1685033869
160,ruidoso,33.3317,-105.673,22.76,56,0,2.06,US,1685033869
161,weno,7.4515,151.8468,28.46,75,88,3.24,FM,1685033869
162,punta arenas,-53.15,-70.9167,5.01,81,20,7.72,CL,1685033806
163,mahdia,35.5047,11.0622,17.97,82,100,10.05,TN,1685033870
164,freetown,8.484,-13.2299,29.84,74,40,3.6,SL,1685033870
165,rurrenabaque,-14.4413,-67.5278,29.83,79,75,2.06,BO,1685033871
166,aroma,15.8167,36.1333,38.88,15,2,7.4,SD,1685033871
167,brejo santo,-7.4933,-38.9872,31.13,38,87,4.0,BR,1685033871
168,northam,51.0333,-4.2167,15.48,82,56,2.99,GB,1685033872
169,puerto deseado,-47.7503,-65.8938,10.74,40,6,10.63,AR,1685033872
170,ushuaia,-54.8,-68.3,4.79,81,40,6.69,AR,1685033770
171,susuman,62.7833,148.1667,0.22,74,27,1.27,RU,1685033719
172,ambovombe,-25.1667,46.0833,20.27,66,16,7.33,MG,1685033873
173,parras de la fuente,25.4167,-102.1833,27.29,32,57,1.72,MX,1685033873
